date,烟台,中山,武汉,佛山,南宁,东营,南京,惠州,常州,郑州,乌鲁木齐,重庆,石家庄,温州,南昌,广州,大连,大庆,南通,苏州,长沙,成都,厦门,太原,宁波,合肥,福州,唐山,西安,天津,北京,昆明,呼和浩特,无锡,沈阳,珠海,济南,东莞,淄博,上海,哈尔滨,徐州,长春,青岛,深圳,包头,杭州,鞍山
2016-02-01,0.0,12.0,4.0,9.0,11.0,2.0,2.0,12.0,3.0,4.0,-10.0,8.0,3.0,8.0,4.0,11.0,-2.0,-11.0,3.0,8.0,2.0,7.0,11.0,1.0,4.0,3.0,10.0,2.0,1.0,3.0,4.0,10.0,-8.0,3.0,-5.0,13.0,3.0,10.0,3.0,4.0,-13.0,3.0,-8.0,1.0,12.0,-4.0,3.0,-4.0
2016-02-02,2.0,10.0,6.0,9.0,9.0,5.0,5.0,11.0,6.0,8.0,-9.0,8.0,5.0,6.0,6.0,10.0,2.0,-7.0,4.0,8.0,5.0,8.0,10.0,3.0,4.0,6.0,7.0,4.0,4.0,6.0,5.0,10.0,-5.0,5.0,-2.0,11.0,6.0,10.0,6.0,4.0,-10.0,6.0,-5.0,3.0,11.0,-2.0,3.0,-1.0
2016-02-03,5.0,14.0,8.0,13.0,11.0,7.0,7.0,14.0,7.0,9.0,-8.0,11.0,6.0,8.0,9.0,12.0,3.0,-8.0,6.0,9.0,9.0,8.0,13.0,5.0,7.0,8.0,11.0,5.0,6.0,7.0,6.0,16.0,-2.0,7.0,1.0,14.0,8.0,14.0,9.0,7.0,-9.0,8.0,-4.0,5.0,15.0,-1.0,6.0,1.0
2016-02-04,1.0,16.0,10.0,14.0,12.0,4.0,7.0,17.0,4.0,9.0,-9.0,10.0,4.0,10.0,7.0,14.0,0.0,-8.0,5.0,9.0,6.0,12.0,16.0,4.0,6.0,8.0,15.0,3.0,9.0,4.0,4.0,12.0,-5.0,6.0,1.0,17.0,5.0,16.0,6.0,7.0,-11.0,8.0,-6.0,5.0,17.0,-3.0,5.0,-2.0
2016-02-05,1.0,16.0,12.0,16.0,16.0,3.0,9.0,16.0,9.0,9.0,-5.0,11.0,7.0,11.0,11.0,16.0,0.0,-8.0,9.0,9.0,12.0,12.0,16.0,1.0,9.0,10.0,12.0,3.0,9.0,4.0,4.0,10.0,-6.0,9.0,-3.0,17.0,4.0,18.0,4.0,8.0,-9.0,9.0,-7.0,4.0,18.0,-5.0,9.0,-1.0
2016-02-06,2.0,16.0,9.0,16.0,18.0,4.0,7.0,17.0,6.0,10.0,-4.0,13.0,8.0,12.0,11.0,16.0,1.0,-6.0,6.0,6.0,9.0,12.0,15.0,2.0,7.0,7.0,12.0,5.0,7.0,6.0,6.0,7.0,-3.0,6.0,-2.0,16.0,5.0,18.0,5.0,6.0,-6.0,6.0,-5.0,3.0,18.0,-3.0,7.0,-1.0
2016-02-07,5.0,17.0,14.0,16.0,19.0,8.0,11.0,17.0,9.0,11.0,-3.0,16.0,9.0,13.0,13.0,17.0,2.0,-7.0,9.0,0.0,14.0,14.0,15.0,5.0,11.0,12.0,14.0,6.0,13.0,8.0,8.0,11.0,-2.0,10.0,3.0,16.0,8.0,17.0,8.0,8.0,-7.0,10.0,-3.0,5.0,16.0,0.0,10.0,3.0
2016-02-08,8.0,18.0,17.0,17.0,21.0,12.0,15.0,19.0,14.0,17.0,-1.0,16.0,13.0,16.0,17.0,18.0,4.0,-7.0,12.0,13.0,18.0,14.0,18.0,10.0,15.0,16.0,16.0,9.0,13.0,10.0,12.0,15.0,2.0,13.0,1.0,17.0,13.0,19.0,14.0,13.0,-7.0,14.0,-4.0,8.0,16.0,4.0,12.0,2.0
2016-02-09,6.0,21.0,21.0,21.0,11.0,11.0,17.0,21.0,17.0,15.0,2.0,16.0,12.0,18.0,19.0,22.0,5.0,-7.0,16.0,15.0,21.0,15.0,19.0,15.0,19.0,19.0,20.0,9.0,14.0,10.0,10.0,18.0,6.0,17.0,2.0,20.0,15.0,21.0,15.0,17.0,-8.0,16.0,-3.0,11.0,21.0,8.0,19.0,3.0
2016-02-10,11.0,22.0,19.0,22.0,22.0,15.0,21.0,19.0,20.0,13.0,-7.0,15.0,11.0,19.0,22.0,22.0,8.0,-1.0,18.0,13.0,23.0,16.0,21.0,12.0,22.0,20.0,20.0,9.0,11.0,10.0,9.0,18.0,7.0,20.0,9.0,20.0,16.0,22.0,18.0,18.0,-2.0,15.0,5.0,9.0,21.0,8.0,22.0,8.0
2016-02-11,10.0,23.0,19.0,22.0,24.0,12.0,20.0,24.0,19.0,10.0,-9.0,16.0,9.0,20.0,23.0,23.0,9.0,2.0,20.0,23.0,22.0,17.0,18.0,8.0,20.0,19.0,19.0,8.0,14.0,7.0,6.0,20.0,6.0,20.0,8.0,21.0,14.0,23.0,14.0,18.0,5.0,14.0,9.0,9.0,23.0,8.0,21.0,8.0
2016-02-12,9.0,25.0,19.0,25.0,27.0,10.0,16.0,24.0,21.0,8.0,-11.0,16.0,7.0,20.0,25.0,24.0,6.0,0.0,21.0,18.0,23.0,18.0,21.0,6.0,25.0,19.0,24.0,8.0,8.0,8.0,10.0,20.0,3.0,22.0,7.0,24.0,10.0,25.0,13.0,22.0,3.0,14.0,5.0,10.0,25.0,0.0,24.0,7.0
2016-02-13,3.0,28.0,12.0,28.0,29.0,0.0,11.0,26.0,15.0,6.0,-12.0,14.0,6.0,24.0,15.0,27.0,-1.0,-7.0,16.0,17.0,11.0,11.0,24.0,2.0,23.0,9.0,27.0,2.0,6.0,4.0,4.0,20.0,-8.0,16.0,-2.0,24.0,0.0,26.0,1.0,18.0,-7.0,7.0,-5.0,5.0,26.0,-6.0,20.0,-2.0
2016-02-14,-3.0,22.0,5.0,18.0,16.0,-3.0,5.0,21.0,6.0,6.0,-11.0,7.0,6.0,10.0,5.0,20.0,-5.0,-11.0,5.0,8.0,4.0,8.0,18.0,-2.0,6.0,4.0,14.0,1.0,3.0,1.0,1.0,21.0,-9.0,5.0,-7.0,22.0,0.0,22.0,-3.0,6.0,-10.0,3.0,-10.0,-1.0,22.0,-7.0,6.0,-7.0
2016-02-15,-1.0,14.0,8.0,12.0,12.0,2.0,7.0,12.0,8.0,8.0,-10.0,7.0,8.0,10.0,9.0,12.0,-1.0,-8.0,6.0,17.0,9.0,9.0,12.0,2.0,7.0,6.0,11.0,2.0,5.0,5.0,5.0,18.0,-4.0,6.0,-2.0,14.0,3.0,14.0,3.0,6.0,-10.0,6.0,-6.0,1.0,13.0,-3.0,7.0,-2.0
2016-02-16,4.0,14.0,12.0,14.0,12.0,7.0,10.0,15.0,10.0,11.0,-8.0,9.0,12.0,14.0,11.0,14.0,3.0,-4.0,9.0,17.0,12.0,11.0,14.0,6.0,11.0,10.0,13.0,6.0,8.0,7.0,8.0,20.0,0.0,10.0,1.0,14.0,8.0,15.0,8.0,10.0,-7.0,9.0,-2.0,6.0,15.0,0.0,12.0,2.0
2016-02-17,8.0,16.0,14.0,15.0,14.0,11.0,12.0,16.0,12.0,13.0,-5.0,11.0,13.0,15.0,13.0,15.0,5.0,-3.0,11.0,11.0,14.0,12.0,16.0,8.0,13.0,12.0,14.0,8.0,10.0,9.0,9.0,20.0,0.0,12.0,5.0,16.0,12.0,16.0,12.0,12.0,-2.0,13.0,1.0,7.0,16.0,2.0,14.0,4.0
2016-02-18,7.0,18.0,16.0,18.0,18.0,8.0,16.0,20.0,16.0,14.0,-4.0,14.0,11.0,17.0,16.0,18.0,5.0,-2.0,15.0,15.0,16.0,14.0,17.0,8.0,17.0,16.0,17.0,7.0,11.0,9.0,9.0,20.0,-1.0,16.0,3.0,17.0,11.0,17.0,10.0,15.0,-1.0,13.0,1.0,9.0,18.0,1.0,18.0,5.0
2016-02-19,5.0,18.0,16.0,16.0,17.0,8.0,13.0,18.0,13.0,12.0,-8.0,14.0,10.0,15.0,16.0,17.0,4.0,-4.0,12.0,11.0,15.0,14.0,18.0,5.0,11.0,15.0,19.0,5.0,12.0,5.0,8.0,12.0,-2.0,12.0,1.0,16.0,11.0,16.0,11.0,12.0,-4.0,14.0,-2.0,7.0,17.0,-1.0,13.0,2.0
2016-02-20,2.0,17.0,12.0,18.0,19.0,5.0,12.0,18.0,11.0,9.0,-4.0,14.0,5.0,16.0,15.0,18.0,1.0,-6.0,10.0,12.0,15.0,12.0,17.0,4.0,12.0,13.0,18.0,5.0,8.0,5.0,4.0,9.0,-4.0,11.0,-1.0,17.0,5.0,18.0,5.0,11.0,-6.0,7.0,-3.0,5.0,18.0,-4.0,13.0,0.0
2016-02-21,5.0,20.0,11.0,17.0,19.0,8.0,11.0,18.0,12.0,10.0,-4.0,12.0,7.0,13.0,12.0,18.0,2.0,-8.0,10.0,9.0,11.0,11.0,16.0,6.0,11.0,11.0,13.0,5.0,4.0,8.0,6.0,19.0,-2.0,11.0,-2.0,18.0,10.0,17.0,9.0,10.0,-9.0,9.0,-6.0,5.0,18.0,1.0,13.0,1.0
2016-02-22,6.0,19.0,10.0,15.0,19.0,9.0,8.0,20.0,8.0,12.0,-4.0,11.0,9.0,10.0,9.0,17.0,3.0,-10.0,8.0,9.0,8.0,13.0,17.0,4.0,8.0,10.0,14.0,7.0,10.0,7.0,8.0,20.0,-3.0,8.0,2.0,18.0,10.0,18.0,11.0,8.0,-9.0,10.0,-5.0,6.0,18.0,-2.0,8.0,3.0
2016-02-23,2.0,16.0,12.0,14.0,13.0,4.0,11.0,16.0,10.0,8.0,-2.0,12.0,5.0,11.0,9.0,14.0,-2.0,-11.0,10.0,9.0,10.0,10.0,14.0,4.0,9.0,11.0,12.0,3.0,10.0,4.0,4.0,16.0,-4.0,11.0,-4.0,16.0,5.0,14.0,5.0,10.0,-12.0,9.0,-9.0,4.0,17.0,-3.0,10.0,-6.0
2016-02-24,3.0,14.0,14.0,14.0,13.0,7.0,10.0,14.0,9.0,11.0,-3.0,13.0,9.0,11.0,12.0,13.0,1.0,-9.0,8.0,8.0,14.0,12.0,14.0,6.0,8.0,11.0,11.0,5.0,10.0,7.0,7.0,8.0,-2.0,9.0,1.0,14.0,8.0,14.0,8.0,9.0,-8.0,10.0,-4.0,4.0,15.0,-1.0,9.0,1.0
2016-02-25,6.0,15.0,16.0,14.0,12.0,6.0,13.0,16.0,12.0,15.0,-3.0,14.0,9.0,12.0,13.0,14.0,2.0,-8.0,11.0,10.0,14.0,14.0,13.0,9.0,12.0,14.0,12.0,5.0,15.0,7.0,6.0,6.0,-2.0,11.0,0.0,16.0,9.0,14.0,10.0,11.0,-6.0,14.0,-5.0,7.0,16.0,1.0,13.0,0.0
2016-02-26,6.0,14.0,19.0,14.0,13.0,9.0,17.0,17.0,16.0,17.0,-2.0,17.0,12.0,12.0,15.0,14.0,3.0,-8.0,16.0,12.0,15.0,17.0,15.0,11.0,14.0,18.0,11.0,7.0,15.0,8.0,8.0,6.0,1.0,16.0,1.0,16.0,12.0,16.0,11.0,15.0,-7.0,14.0,-5.0,8.0,18.0,4.0,18.0,1.0
2016-02-27,8.0,18.0,20.0,19.0,19.0,8.0,19.0,20.0,20.0,14.0,6.0,21.0,8.0,18.0,18.0,19.0,4.0,-6.0,18.0,11.0,19.0,18.0,17.0,10.0,20.0,19.0,17.0,6.0,18.0,6.0,7.0,16.0,1.0,19.0,2.0,18.0,10.0,18.0,10.0,18.0,-7.0,16.0,-4.0,10.0,19.0,4.0,20.0,3.0
2016-02-28,4.0,21.0,19.0,20.0,22.0,6.0,16.0,21.0,19.0,12.0,6.0,21.0,9.0,20.0,20.0,22.0,3.0,-5.0,18.0,21.0,22.0,19.0,21.0,6.0,23.0,17.0,22.0,5.0,17.0,6.0,8.0,16.0,-3.0,20.0,1.0,20.0,7.0,19.0,7.0,21.0,-6.0,12.0,-4.0,6.0,21.0,-1.0,22.0,1.0
2016-02-29,-1.0,23.0,17.0,22.0,25.0,4.0,11.0,22.0,11.0,12.0,6.0,23.0,9.0,16.0,16.0,23.0,-1.0,-7.0,9.0,12.0,19.0,21.0,19.0,9.0,10.0,12.0,16.0,4.0,12.0,6.0,5.0,15.0,1.0,10.0,-2.0,24.0,7.0,24.0,6.0,10.0,-6.0,9.0,-5.0,3.0,23.0,4.0,13.0,-3.0
2016-03-01,9.0,23.0,18.0,23.0,25.0,13.0,13.0,24.0,12.0,16.0,9.0,23.0,14.0,14.0,19.0,26.0,5.0,0.0,11.0,24.0,21.0,20.0,17.0,12.0,13.0,15.0,15.0,8.0,12.0,10.0,10.0,16.0,5.0,12.0,5.0,21.0,13.0,23.0,14.0,12.0,-3.0,14.0,2.0,5.0,24.0,6.0,15.0,5.0
2016-03-02,16.0,24.0,18.0,24.0,23.0,18.0,18.0,24.0,15.0,22.0,10.0,22.0,19.0,18.0,22.0,24.0,10.0,-1.0,16.0,14.0,22.0,20.0,20.0,15.0,18.0,19.0,19.0,16.0,20.0,17.0,17.0,18.0,10.0,17.0,10.0,21.0,18.0,24.0,19.0,16.0,-2.0,18.0,3.0,8.0,24.0,12.0,20.0,11.0
2016-03-03,18.0,24.0,20.0,24.0,22.0,23.0,19.0,25.0,20.0,25.0,-3.0,22.0,25.0,22.0,24.0,24.0,12.0,1.0,18.0,21.0,23.0,23.0,22.0,20.0,23.0,21.0,23.0,17.0,20.0,18.0,17.0,19.0,12.0,21.0,11.0,22.0,22.0,24.0,24.0,21.0,1.0,22.0,3.0,10.0,24.0,14.0,24.0,11.0
2016-03-04,18.0,25.0,23.0,24.0,23.0,23.0,20.0,26.0,20.0,23.0,0.0,23.0,16.0,23.0,23.0,25.0,8.0,4.0,20.0,18.0,25.0,23.0,24.0,15.0,24.0,22.0,24.0,13.0,18.0,15.0,12.0,21.0,7.0,21.0,12.0,24.0,23.0,26.0,23.0,21.0,5.0,23.0,6.0,11.0,26.0,6.0,25.0,12.0
2016-03-05,10.0,25.0,19.0,24.0,21.0,13.0,19.0,25.0,20.0,16.0,3.0,22.0,15.0,24.0,22.0,24.0,7.0,2.0,22.0,18.0,18.0,22.0,24.0,10.0,26.0,18.0,26.0,12.0,14.0,12.0,12.0,18.0,1.0,22.0,6.0,24.0,14.0,25.0,14.0,23.0,5.0,16.0,5.0,11.0,26.0,4.0,24.0,7.0
2016-03-06,12.0,26.0,22.0,25.0,25.0,16.0,20.0,25.0,18.0,19.0,2.0,25.0,16.0,24.0,24.0,26.0,9.0,2.0,16.0,17.0,22.0,23.0,25.0,15.0,16.0,20.0,25.0,11.0,16.0,12.0,11.0,21.0,5.0,18.0,6.0,24.0,17.0,26.0,17.0,16.0,2.0,16.0,3.0,9.0,25.0,7.0,19.0,7.0
2016-03-07,12.0,26.0,24.0,27.0,26.0,13.0,21.0,27.0,21.0,16.0,2.0,23.0,13.0,24.0,26.0,27.0,8.0,0.0,20.0,10.0,25.0,22.0,23.0,14.0,23.0,23.0,24.0,10.0,11.0,12.0,12.0,24.0,2.0,21.0,3.0,25.0,15.0,26.0,15.0,21.0,0.0,16.0,1.0,11.0,26.0,3.0,24.0,7.0
2016-03-08,2.0,27.0,12.0,25.0,26.0,4.0,8.0,26.0,9.0,8.0,0.0,21.0,7.0,20.0,20.0,26.0,0.0,-1.0,8.0,10.0,12.0,18.0,24.0,5.0,18.0,8.0,25.0,5.0,10.0,6.0,6.0,23.0,0.0,9.0,2.0,25.0,7.0,25.0,6.0,11.0,-4.0,10.0,-2.0,6.0,26.0,1.0,16.0,2.0
2016-03-09,1.0,26.0,7.0,22.0,22.0,4.0,7.0,24.0,7.0,5.0,1.0,14.0,5.0,15.0,9.0,26.0,0.0,-2.0,7.0,12.0,7.0,14.0,26.0,3.0,11.0,9.0,15.0,5.0,4.0,5.0,5.0,22.0,-2.0,7.0,2.0,25.0,4.0,24.0,3.0,8.0,-3.0,8.0,-3.0,5.0,24.0,0.0,9.0,1.0
2016-03-11,7.0,12.0,12.0,10.0,16.0,9.0,11.0,12.0,10.0,13.0,0.0,15.0,11.0,11.0,12.0,12.0,4.0,-1.0,9.0,9.0,12.0,14.0,12.0,9.0,10.0,12.0,12.0,7.0,11.0,9.0,8.0,20.0,1.0,10.0,2.0,12.0,10.0,12.0,11.0,9.0,-1.0,11.0,-1.0,7.0,12.0,4.0,10.0,3.0
2016-03-12,11.0,14.0,14.0,12.0,16.0,13.0,14.0,14.0,13.0,13.0,2.0,16.0,12.0,14.0,16.0,14.0,6.0,6.0,12.0,17.0,15.0,15.0,14.0,11.0,13.0,14.0,12.0,11.0,13.0,11.0,9.0,24.0,3.0,13.0,9.0,16.0,12.0,14.0,13.0,12.0,5.0,14.0,5.0,7.0,15.0,4.0,15.0,9.0
2016-03-13,9.0,19.0,17.0,15.0,17.0,9.0,15.0,17.0,11.0,14.0,2.0,15.0,13.0,16.0,14.0,15.0,5.0,-1.0,11.0,16.0,14.0,17.0,17.0,10.0,12.0,15.0,18.0,11.0,16.0,12.0,12.0,24.0,5.0,12.0,6.0,18.0,12.0,17.0,12.0,12.0,2.0,13.0,0.0,9.0,20.0,5.0,12.0,7.0
2016-03-14,10.0,16.0,16.0,16.0,17.0,15.0,14.0,18.0,14.0,16.0,4.0,16.0,16.0,17.0,17.0,17.0,8.0,5.0,12.0,14.0,15.0,17.0,16.0,13.0,12.0,15.0,16.0,15.0,14.0,15.0,15.0,24.0,8.0,13.0,10.0,17.0,15.0,17.0,15.0,12.0,6.0,14.0,6.0,9.0,18.0,9.0,14.0,10.0
2016-03-15,13.0,17.0,13.0,17.0,18.0,15.0,14.0,21.0,13.0,16.0,5.0,16.0,15.0,14.0,14.0,17.0,10.0,11.0,13.0,16.0,13.0,16.0,17.0,12.0,14.0,15.0,14.0,15.0,14.0,17.0,15.0,25.0,11.0,15.0,13.0,18.0,15.0,18.0,14.0,12.0,12.0,14.0,11.0,9.0,18.0,12.0,15.0,13.0
2016-03-16,15.0,17.0,16.0,19.0,20.0,18.0,18.0,16.0,18.0,17.0,10.0,20.0,18.0,18.0,17.0,17.0,12.0,14.0,16.0,14.0,15.0,18.0,17.0,16.0,18.0,18.0,20.0,18.0,15.0,18.0,17.0,25.0,13.0,17.0,15.0,18.0,18.0,16.0,18.0,17.0,12.0,17.0,13.0,8.0,18.0,14.0,18.0,15.0
2016-03-17,18.0,18.0,14.0,17.0,22.0,20.0,17.0,20.0,16.0,20.0,8.0,20.0,20.0,19.0,17.0,17.0,11.0,13.0,18.0,17.0,14.0,18.0,18.0,19.0,21.0,17.0,20.0,18.0,16.0,20.0,18.0,24.0,13.0,18.0,15.0,20.0,20.0,18.0,20.0,18.0,14.0,18.0,14.0,10.0,20.0,15.0,21.0,15.0
2016-03-18,16.0,24.0,20.0,19.0,25.0,22.0,18.0,25.0,18.0,23.0,8.0,23.0,21.0,18.0,17.0,21.0,14.0,4.0,19.0,15.0,20.0,23.0,24.0,20.0,21.0,19.0,23.0,20.0,20.0,19.0,21.0,25.0,16.0,19.0,14.0,24.0,23.0,22.0,24.0,20.0,7.0,18.0,9.0,11.0,24.0,17.0,20.0,14.0
2016-03-20,10.0,26.0,23.0,24.0,27.0,14.0,18.0,26.0,17.0,19.0,4.0,21.0,17.0,20.0,18.0,24.0,12.0,11.0,14.0,18.0,19.0,22.0,18.0,15.0,17.0,20.0,16.0,17.0,16.0,16.0,16.0,25.0,17.0,17.0,13.0,23.0,19.0,26.0,18.0,18.0,10.0,19.0,11.0,15.0,24.0,14.0,18.0,13.0
2016-03-21,14.0,22.0,19.0,20.0,25.0,18.0,17.0,21.0,16.0,18.0,8.0,18.0,18.0,16.0,15.0,22.0,13.0,8.0,15.0,18.0,16.0,17.0,14.0,15.0,16.0,18.0,14.0,19.0,15.0,20.0,20.0,24.0,14.0,16.0,17.0,20.0,19.0,22.0,18.0,15.0,9.0,18.0,12.0,10.0,22.0,15.0,16.0,17.0
2016-03-22,10.0,21.0,18.0,21.0,26.0,13.0,16.0,21.0,16.0,19.0,12.0,18.0,15.0,14.0,14.0,21.0,12.0,7.0,16.0,17.0,15.0,14.0,19.0,11.0,14.0,18.0,17.0,14.0,14.0,15.0,14.0,24.0,9.0,16.0,11.0,20.0,19.0,20.0,18.0,15.0,7.0,17.0,7.0,11.0,20.0,10.0,16.0,11.0
2016-03-23,8.0,20.0,16.0,18.0,21.0,11.0,14.0,21.0,13.0,15.0,21.0,14.0,12.0,13.0,15.0,20.0,8.0,5.0,13.0,15.0,15.0,15.0,16.0,9.0,13.0,15.0,15.0,13.0,13.0,14.0,15.0,20.0,7.0,13.0,7.0,21.0,13.0,19.0,13.0,12.0,6.0,15.0,5.0,11.0,21.0,9.0,12.0,8.0
2016-03-24,9.0,16.0,15.0,15.0,20.0,13.0,12.0,15.0,12.0,15.0,15.0,15.0,13.0,13.0,14.0,16.0,9.0,7.0,10.0,16.0,16.0,17.0,12.0,6.0,11.0,13.0,13.0,13.0,15.0,14.0,15.0,14.0,8.0,12.0,9.0,17.0,14.0,16.0,14.0,11.0,7.0,14.0,6.0,12.0,18.0,9.0,13.0,9.0
2016-03-25,10.0,16.0,16.0,17.0,19.0,15.0,15.0,18.0,14.0,11.0,15.0,20.0,15.0,15.0,16.0,18.0,10.0,13.0,13.0,15.0,17.0,19.0,15.0,10.0,13.0,15.0,14.0,14.0,14.0,15.0,15.0,18.0,8.0,14.0,11.0,16.0,15.0,16.0,16.0,13.0,12.0,15.0,10.0,12.0,16.0,9.0,14.0,10.0
2016-03-26,12.0,19.0,13.0,20.0,22.0,16.0,15.0,20.0,15.0,17.0,14.0,21.0,18.0,17.0,17.0,20.0,12.0,13.0,15.0,15.0,16.0,17.0,17.0,13.0,15.0,14.0,16.0,18.0,17.0,17.0,19.0,18.0,10.0,16.0,15.0,18.0,17.0,20.0,17.0,15.0,15.0,16.0,13.0,13.0,18.0,11.0,15.0,14.0
2016-03-27,16.0,22.0,20.0,22.0,22.0,20.0,18.0,23.0,18.0,21.0,14.0,23.0,22.0,18.0,17.0,23.0,15.0,9.0,17.0,16.0,19.0,19.0,18.0,17.0,17.0,18.0,18.0,20.0,20.0,21.0,21.0,16.0,12.0,18.0,16.0,22.0,20.0,22.0,21.0,17.0,9.0,19.0,12.0,17.0,22.0,14.0,17.0,16.0
2016-03-28,22.0,22.0,23.0,22.0,22.0,23.0,21.0,23.0,20.0,24.0,18.0,19.0,23.0,20.0,20.0,24.0,16.0,13.0,20.0,21.0,22.0,20.0,18.0,19.0,21.0,21.0,19.0,20.0,22.0,21.0,22.0,22.0,11.0,19.0,19.0,21.0,22.0,22.0,23.0,19.0,16.0,21.0,18.0,15.0,21.0,15.0,20.0,19.0
2016-03-29,13.0,23.0,20.0,24.0,21.0,19.0,21.0,24.0,22.0,22.0,20.0,19.0,21.0,22.0,19.0,23.0,14.0,10.0,21.0,18.0,19.0,16.0,20.0,20.0,25.0,22.0,21.0,20.0,23.0,21.0,22.0,24.0,14.0,21.0,15.0,21.0,20.0,24.0,20.0,22.0,10.0,23.0,12.0,19.0,24.0,17.0,23.0,15.0
2016-03-30,16.0,24.0,15.0,23.0,21.0,23.0,19.0,25.0,19.0,24.0,18.0,19.0,22.0,18.0,16.0,24.0,15.0,10.0,20.0,18.0,15.0,21.0,23.0,22.0,18.0,18.0,22.0,21.0,25.0,21.0,22.0,24.0,19.0,19.0,15.0,23.0,24.0,24.0,25.0,19.0,10.0,23.0,12.0,15.0,24.0,21.0,17.0,16.0
2016-03-31,22.0,25.0,21.0,26.0,24.0,26.0,19.0,26.0,19.0,25.0,17.0,22.0,26.0,22.0,19.0,26.0,19.0,15.0,19.0,20.0,23.0,23.0,24.0,25.0,20.0,19.0,24.0,25.0,26.0,26.0,24.0,25.0,20.0,19.0,23.0,24.0,25.0,25.0,26.0,16.0,17.0,24.0,21.0,14.0,26.0,23.0,20.0,22.0
2016-04-01,22.0,27.0,26.0,27.0,23.0,25.0,25.0,28.0,23.0,27.0,17.0,24.0,25.0,23.0,26.0,27.0,14.0,14.0,23.0,23.0,28.0,24.0,22.0,24.0,24.0,26.0,25.0,22.0,26.0,22.0,23.0,25.0,13.0,24.0,15.0,27.0,26.0,27.0,26.0,22.0,19.0,26.0,17.0,14.0,27.0,14.0,27.0,18.0
2016-04-02,12.0,27.0,22.0,27.0,24.0,14.0,21.0,28.0,20.0,20.0,16.0,24.0,17.0,23.0,26.0,27.0,12.0,9.0,19.0,19.0,27.0,25.0,24.0,18.0,24.0,22.0,27.0,18.0,27.0,17.0,18.0,25.0,9.0,19.0,14.0,24.0,18.0,27.0,16.0,20.0,10.0,24.0,12.0,14.0,26.0,12.0,24.0,14.0
2016-04-03,13.0,26.0,17.0,26.0,26.0,17.0,15.0,27.0,15.0,15.0,13.0,26.0,17.0,26.0,21.0,26.0,15.0,9.0,14.0,15.0,21.0,28.0,27.0,11.0,22.0,15.0,27.0,18.0,18.0,19.0,18.0,24.0,13.0,15.0,15.0,24.0,17.0,26.0,17.0,16.0,9.0,15.0,13.0,15.0,26.0,13.0,18.0,15.0
2016-04-04,15.0,26.0,17.0,25.0,29.0,21.0,18.0,26.0,18.0,19.0,12.0,29.0,22.0,18.0,19.0,25.0,16.0,11.0,16.0,17.0,17.0,26.0,26.0,16.0,15.0,18.0,25.0,20.0,14.0,22.0,22.0,25.0,15.0,17.0,19.0,25.0,20.0,26.0,21.0,18.0,12.0,19.0,16.0,13.0,26.0,18.0,18.0,18.0
2016-04-05,20.0,28.0,18.0,29.0,30.0,23.0,18.0,29.0,18.0,19.0,14.0,23.0,24.0,20.0,25.0,29.0,18.0,12.0,17.0,20.0,25.0,23.0,24.0,22.0,19.0,17.0,25.0,22.0,17.0,24.0,24.0,26.0,19.0,18.0,15.0,26.0,24.0,28.0,24.0,17.0,12.0,19.0,13.0,14.0,28.0,21.0,19.0,17.0
2016-04-06,19.0,27.0,16.0,28.0,31.0,23.0,16.0,29.0,17.0,16.0,18.0,20.0,23.0,26.0,27.0,28.0,16.0,16.0,16.0,17.0,19.0,22.0,29.0,24.0,26.0,16.0,31.0,22.0,18.0,24.0,22.0,27.0,17.0,17.0,21.0,25.0,21.0,28.0,23.0,20.0,18.0,12.0,17.0,13.0,28.0,19.0,25.0,21.0
2016-04-07,17.0,28.0,22.0,29.0,30.0,22.0,19.0,29.0,19.0,25.0,20.0,25.0,25.0,24.0,18.0,28.0,16.0,7.0,19.0,20.0,18.0,25.0,29.0,22.0,18.0,22.0,32.0,23.0,21.0,22.0,24.0,26.0,12.0,20.0,15.0,26.0,24.0,29.0,25.0,18.0,9.0,23.0,11.0,20.0,29.0,15.0,18.0,15.0
2016-04-08,21.0,28.0,25.0,29.0,31.0,24.0,24.0,29.0,22.0,24.0,22.0,21.0,26.0,18.0,21.0,28.0,19.0,6.0,22.0,18.0,19.0,22.0,27.0,23.0,18.0,24.0,24.0,24.0,21.0,25.0,25.0,27.0,17.0,22.0,18.0,27.0,24.0,28.0,24.0,20.0,7.0,22.0,11.0,19.0,28.0,19.0,20.0,19.0
2016-04-09,19.0,28.0,24.0,28.0,31.0,27.0,24.0,29.0,23.0,27.0,20.0,22.0,29.0,17.0,21.0,29.0,17.0,5.0,24.0,19.0,20.0,22.0,22.0,25.0,20.0,26.0,20.0,22.0,23.0,24.0,26.0,25.0,21.0,24.0,14.0,29.0,28.0,28.0,29.0,23.0,6.0,26.0,8.0,16.0,28.0,22.0,22.0,15.0
2016-04-10,14.0,27.0,26.0,27.0,30.0,16.0,25.0,26.0,24.0,25.0,14.0,24.0,19.0,18.0,22.0,26.0,14.0,7.0,22.0,18.0,22.0,25.0,22.0,25.0,21.0,26.0,21.0,17.0,27.0,17.0,19.0,26.0,24.0,23.0,9.0,25.0,24.0,26.0,22.0,22.0,6.0,27.0,7.0,17.0,26.0,24.0,24.0,11.0
