date,大连,上海,石家庄,成都,无锡,昆明,大庆,珠海,济南,北京,佛山,青岛,中山,南宁,哈尔滨,东营,南昌,天津,深圳,西安,温州,沈阳,徐州,南通,包头,广州,福州,郑州,合肥,太原,乌鲁木齐,惠州,重庆,东莞,武汉,杭州,鞍山,苏州,宁波,淄博,烟台,南京,长沙,呼和浩特,常州,厦门,长春,唐山
2015-01-01,-2,4,6,12,5,15,-12,18.0,4,3,19.0,1,18,22,-14,2,11,2,18,4,10,-8,5,5,-3,19,14,7,7,3,-6,19,10,18.0,9,7,-6,5.0,6,3,-1,5,12,-3,5,15,-12,1
2015-01-02,-1,8,5,10,8,18,-12,19.0,6,8,20.0,4,20,21,-14,3,12,5,22,5,12,-7,8,8,0,20,15,9,10,5,0,21,10,19.0,11,9,-2,8.0,10,7,-1,9,12,-2,8,15,-11,4
2015-01-03,5,12,6,11,12,19,-5,19.0,12,8,20.0,7,20,21,-8,10,16,7,21,7,12,2,12,11,2,21,17,13,15,10,-2,22,11,20.0,14,14,6,12.0,14,10,7,13,16,0,13,18,-3,7
2015-01-04,6,16,4,9,16,22,-8,20.0,13,6,21.0,9,22,21,-8,11,20,7,22,6,21,-2,14,15,2,23,20,13,17,10,-5,23,10,22.0,17,18,2,15.0,20,13,6,17,19,1,16,20,-3,6
2015-01-05,5,19,7,9,17,22,-6,23.0,8,9,22.0,9,22,21,-7,5,21,7,23,7,22,2,11,16,-3,23,23,11,14,6,-8,25,9,22.0,12,20,5,18.0,23,7,7,18,20,-2,18,21,-4,5
2015-01-06,-2,8,4,11,7,20,-12,23.0,4,6,23.0,3,24,21,-14,3,9,3,24,5,15,-6,5,7,-5,24,18,4,6,2,-3,25,9,24.0,6,9,-6,8.0,11,2,3,7,9,-4,7,22,-12,2
2015-01-07,0,7,3,9,7,20,-11,19.0,6,3,18.0,4,20,15,-14,5,12,6,20,6,11,-7,7,6,-2,17,14,7,9,5,-2,21,11,21.0,10,9,-5,7.0,8,5,3,8,11,-3,7,17,-10,5
2015-01-08,3,8,6,11,8,12,-10,17.0,9,5,18.0,5,18,16,-13,7,11,7,20,8,14,-5,10,8,-1,18,15,13,10,6,2,19,10,18.0,12,10,-4,9.0,10,9,5,8,12,-2,8,17,-9,4
2015-01-09,3,11,7,12,11,8,-9,18.0,8,7,18.0,7,18,16,-11,6,14,6,20,8,14,-5,11,11,1,19,15,13,14,7,-4,19,11,18.0,12,12,-2,11.0,12,7,5,13,10,-2,12,17,-7,4
2015-01-10,5,13,7,11,14,4,-9,19.0,11,9,19.0,9,19,13,-14,11,13,9,21,8,15,-1,14,13,2,19,14,16,15,8,-1,19,12,19.0,14,14,3,13.0,13,12,8,14,11,0,14,17,-9,6
2015-01-11,-1,14,7,12,14,5,-10,18.0,8,5,16.0,6,18,13,-14,4,15,5,18,8,15,-5,11,13,3,17,17,11,16,7,-4,16,13,16.0,15,16,-2,14.0,16,7,1,15,15,2,14,18,-10,4
2015-01-12,1,9,2,13,10,12,-6,15.0,8,4,14.0,4,14,15,-11,4,12,5,14,8,12,-3,7,9,3,12,14,7,11,7,0,15,13,14.0,12,13,-1,10.0,11,7,3,10,11,2,10,16,-7,4
2015-01-13,5,10,5,11,8,13,-6,15.0,7,4,18.0,6,16,19,-6,6,10,5,15,6,12,3,7,9,1,15,11,8,8,5,-1,16,14,14.0,12,8,4,9.0,11,7,5,7,11,2,8,14,-1,4
2015-01-14,5,10,4,10,10,14,-9,17.0,8,2,18.0,8,17,20,-10,8,13,4,18,7,13,0,9,9,0,19,18,8,8,7,-2,18,13,18.0,13,10,1,9.0,11,9,5,8,14,0,10,19,-7,3
2015-01-15,1,10,3,11,10,17,-10,18.0,8,3,18.0,7,18,20,-11,6,14,4,19,7,16,-5,10,10,-1,19,17,8,9,5,-3,19,12,18.0,12,10,-4,10.0,11,8,3,10,14,-2,9,18,-10,3
2015-01-16,-4,10,6,11,11,17,-9,19.0,6,4,18.0,5,19,21,-13,4,14,3,21,7,15,-8,10,10,-1,20,18,11,10,4,-2,21,13,19.0,14,12,-7,11.0,13,6,3,11,15,-5,11,19,-11,3
2015-01-17,3,7,5,11,8,15,-8,19.0,6,4,19.0,3,19,19,-11,6,14,4,20,5,14,-5,5,6,-2,19,15,8,7,3,-2,20,12,20.0,12,10,-1,7.0,9,6,3,7,13,-3,8,16,-9,2
2015-01-18,3,10,8,12,10,8,-9,20.0,9,6,20.0,8,20,20,-10,9,11,6,21,10,15,0,10,8,-2,20,16,12,11,4,-3,21,14,20.0,13,11,2,10.0,13,10,6,9,12,-3,10,18,-3,3
2015-01-19,0,10,8,12,11,9,-10,20.0,10,6,19.0,6,19,21,-11,6,14,6,21,10,15,-6,11,10,1,20,17,12,13,7,0,21,13,20.0,14,13,-4,10.0,12,9,2,11,15,-1,12,18,-10,4
2015-01-20,5,11,5,14,11,14,-9,20.0,10,5,20.0,7,20,20,-10,11,14,5,22,9,15,0,10,11,-2,21,17,13,13,6,-3,21,14,20.0,14,12,2,10.0,13,9,7,11,13,-3,10,19,-7,4
2015-01-21,0,14,7,14,13,16,-9,19.0,4,5,21.0,5,22,20,-9,2,16,5,22,8,19,-5,6,13,-1,22,19,8,12,4,-1,21,16,21.0,14,17,-4,13.0,17,1,4,12,17,-4,13,21,-8,5
2015-01-22,2,8,6,14,8,17,-7,20.0,6,6,21.0,4,21,22,-9,5,14,7,22,10,16,-4,7,7,2,22,17,8,9,6,-2,22,17,22.0,13,11,-1,8.0,9,5,3,9,17,-2,8,19,-7,5
2015-01-23,5,10,7,13,11,18,-7,21.0,11,7,22.0,6,22,21,-6,10,18,8,23,7,15,2,11,10,1,23,18,11,14,8,-3,23,15,22.0,14,14,4,10.0,13,11,7,11,18,1,11,17,-3,6
2015-01-24,3,15,2,13,16,20,-7,19.0,7,3,21.0,7,21,21,-8,5,20,4,20,5,18,-4,8,15,2,21,19,6,16,3,-5,21,13,21.0,16,18,-2,16.0,18,8,5,16,16,0,15,19,-4,4
2015-01-25,4,15,2,13,13,19,-6,22.0,3,4,23.0,7,23,22,-6,4,18,6,22,7,21,1,9,13,3,23,17,6,11,6,-8,22,14,23.0,10,14,3,14.0,21,4,4,12,10,0,12,19,-4,4
2015-01-26,2,11,5,14,11,19,-12,22.0,5,4,24.0,6,24,24,-8,5,18,5,25,4,18,-4,9,11,-4,25,20,8,8,4,-10,25,15,24.0,9,13,-3,11.0,14,5,4,12,10,-5,11,18,-6,6
2015-01-27,-5,8,1,13,6,20,-13,23.0,1,2,22.0,1,24,22,-14,1,9,0,24,3,13,-9,3,5,-7,24,14,1,5,2,-12,25,13,24.0,6,5,-8,7.0,9,2,-1,5,6,-5,5,18,-14,0
2015-01-28,-3,5,2,7,4,20,-9,20.0,2,0,22.0,1,22,22,-12,1,4,2,22,1,11,-7,2,4,-5,21,13,1,2,0,-12,22,11,22.0,2,5,-5,4.0,6,2,-2,4,3,-2,4,16,-11,0
2015-01-29,0,6,2,6,3,20,-8,20.0,3,4,20.0,1,20,21,-9,2,4,3,22,2,12,-3,2,4,-6,21,17,2,1,0,-14,22,8,21.0,1,5,-2,3.0,7,2,2,2,1,-6,3,18,-8,2
2015-01-30,-3,6,4,7,4,20,-10,19.0,2,3,16.0,1,20,13,-12,2,8,2,20,2,10,-6,5,5,-6,17,12,3,3,1,-14,19,8,20.0,4,5,-6,5.0,6,2,0,4,2,-6,4,17,-11,1
2015-01-31,-1,6,2,6,6,18,-8,17.0,3,4,14.0,2,18,11,-10,2,5,3,21,2,13,-5,3,4,-5,17,11,2,3,1,-12,18,7,18.0,4,6,-5,6.0,6,3,0,4,3,-4,5,16,-9,2
2015-03-01,5,9,12,14,10,24,-4,18.0,12,10,16.0,8,19,18,-4,11,10,10,21,11,15,3,12,10,3,17,14,14,10,8,0,20,12,19.0,12,10,4,9.0,10,11,7,10,11,1,10,17,-2,8
2015-03-02,10,12,15,13,12,25,-3,19.0,16,12,19.0,9,18,18,-4,15,15,13,21,14,15,6,14,12,3,20,15,15,13,10,1,20,13,20.0,14,14,9,12.0,14,16,13,13,13,1,12,17,-1,11
2015-03-03,1,14,9,12,14,24,-3,21.0,6,4,22.0,5,22,18,-3,4,9,7,22,9,14,-1,10,13,-1,18,18,10,13,5,1,22,13,22.0,13,12,0,13.0,12,4,2,12,10,-3,13,21,-4,7
2015-03-04,1,7,8,10,7,23,-6,19.0,6,6,15.0,5,18,20,-3,5,7,6,20,8,8,1,7,6,2,15,11,7,8,6,1,17,12,17.0,9,7,1,7.0,6,6,2,6,9,0,6,14,-5,6
2015-03-05,4,6,9,9,6,23,-1,20.0,8,8,17.0,4,20,19,0,8,5,10,20,8,7,5,7,6,5,17,9,8,5,7,2,18,13,18.0,5,4,7,5.0,5,9,5,5,7,5,4,16,-2,8
2015-03-06,6,8,13,12,8,23,2,20.0,12,11,16.0,7,18,15,5,12,5,12,20,11,10,8,11,8,9,16,12,13,7,11,2,17,13,17.0,7,7,9,8.0,8,12,9,8,7,7,7,17,4,11
2015-03-07,9,11,16,14,11,24,0,19.0,15,11,17.0,8,18,13,-1,16,9,13,22,12,12,8,13,11,11,18,15,16,12,14,6,20,16,18.0,12,12,10,11.0,11,16,13,11,10,7,11,18,2,12
2015-03-08,7,12,16,17,11,24,-3,22.0,13,13,21.0,8,22,17,-3,13,9,12,23,18,12,3,12,11,3,22,17,16,13,12,4,24,18,23.0,14,10,6,11.0,10,13,10,10,11,2,11,20,-2,11
2015-03-09,-3,11,6,20,11,24,-8,23.0,6,5,19.0,4,23,18,-5,4,16,6,24,11,14,-4,9,9,-1,21,15,10,14,8,5,23,18,23.0,17,12,-4,11.0,11,6,0,10,15,-1,11,21,-8,3
2015-03-10,1,7,10,15,8,26,-6,20.0,9,9,16.0,5,20,16,-8,7,10,8,20,9,14,-1,8,7,4,19,12,10,9,8,6,20,16,20.0,13,9,1,8.0,9,8,4,8,11,2,8,15,-6,6
2015-03-11,4,11,13,17,11,26,-4,20.0,12,11,17.0,10,19,14,-7,9,9,10,19,14,11,0,13,10,7,17,9,15,13,12,2,19,17,17.0,13,12,1,11.0,12,12,5,12,8,5,11,13,-5,9
2015-03-12,6,16,15,20,16,26,-3,17.0,17,12,15.0,9,16,16,-3,14,17,11,18,21,17,3,17,15,11,16,16,20,17,15,2,17,22,15.0,18,18,5,16.0,18,16,11,17,18,8,16,17,-3,11
2015-03-13,6,20,13,19,19,26,1,19.0,15,13,19.0,10,19,16,0,12,21,10,21,20,20,5,18,19,9,21,20,17,20,16,2,22,20,20.0,19,22,4,19.0,22,15,6,20,18,7,19,20,1,12
2015-03-14,7,16,16,19,16,26,4,22.0,17,13,21.0,9,23,22,3,16,17,14,24,19,22,8,15,14,7,22,24,17,13,16,2,24,18,23.0,15,16,8,15.0,18,17,11,14,15,7,13,23,3,12
2015-03-15,10,16,18,20,14,26,5,24.0,19,16,24.0,13,24,26,5,17,15,17,25,18,16,12,18,15,14,25,24,19,16,17,4,26,21,26.0,16,15,13,14.0,16,19,13,16,15,11,16,25,7,16
2015-03-16,13,15,22,20,16,26,6,25.0,22,18,25.0,9,26,28,6,23,22,20,26,17,20,9,18,17,14,25,26,20,20,20,4,28,22,26.0,21,19,12,16.0,20,23,18,17,20,14,17,25,8,18
2015-03-17,10,19,17,20,19,27,6,26.0,15,15,27.0,11,27,32,5,11,28,14,28,16,22,10,14,20,13,27,27,15,18,16,4,28,22,28.0,19,27,10,19.0,26,14,11,18,23,12,18,25,7,16
2015-03-18,12,22,15,21,17,26,8,26.0,13,15,28.0,11,27,32,8,14,26,15,28,13,27,14,14,18,12,26,30,12,13,13,3,28,22,28.0,14,24,14,19.0,28,13,8,15,16,14,15,27,9,16
2015-03-19,15,16,20,17,16,25,8,27.0,18,20,28.0,16,28,32,9,19,19,19,29,14,18,14,14,15,11,27,29,16,15,18,6,29,20,28.0,12,17,15,16.0,16,18,13,16,15,12,16,28,10,18
2015-03-20,16,14,22,20,14,25,8,26.0,21,20,28.0,19,29,30,8,21,16,19,28,19,18,14,18,15,10,28,24,21,14,18,8,29,19,28.0,14,14,15,14.0,16,22,17,14,13,12,14,25,10,19
2015-03-21,15,20,21,22,19,25,8,26.0,20,19,26.0,17,27,24,8,18,21,17,28,21,17,13,21,20,11,26,20,22,20,19,7,28,21,27.0,21,19,13,19.0,18,19,14,21,18,9,20,21,9,18
2015-03-22,8,17,15,22,18,25,-1,24.0,14,13,25.0,13,25,26,0,8,20,14,26,18,22,5,20,18,12,26,20,21,22,14,11,26,21,26.0,21,20,6,18.0,19,10,6,20,19,11,19,21,2,15
2015-03-23,10,16,16,22,16,24,3,22.0,16,17,25.0,13,24,24,2,15,15,14,24,14,15,7,14,14,11,25,15,12,17,14,17,25,23,24.0,21,16,7,16.0,16,16,11,17,18,9,17,20,1,15
2015-03-24,12,15,19,19,16,20,8,22.0,19,18,22.0,11,23,20,6,19,19,18,24,12,16,9,18,14,15,23,15,17,18,17,20,24,21,23.0,18,16,11,15.0,16,19,13,16,18,12,16,20,5,17
2015-03-25,14,16,18,22,17,18,16,22.0,20,18,24.0,11,22,20,15,20,20,20,24,9,16,17,17,15,15,24,16,16,18,13,7,24,25,24.0,21,18,17,16.0,17,21,15,16,20,14,16,20,14,18
2015-03-26,17,17,19,21,17,20,21,21.0,20,20,23.0,11,23,20,21,21,17,21,24,12,17,21,16,15,16,23,16,14,17,15,9,23,23,21.0,18,18,20,16.0,18,21,19,16,17,14,16,18,20,20
2015-03-27,16,14,22,19,15,21,17,23.0,21,21,24.0,11,23,22,18,21,21,22,24,17,21,19,19,14,18,23,21,21,17,19,14,24,23,23.0,18,17,19,14.0,16,21,19,16,19,14,15,22,20,20
2015-03-28,14,20,23,23,20,23,13,24.0,25,22,25.0,17,25,24,11,23,20,22,26,20,22,16,23,20,17,24,23,25,22,20,10,27,25,25.0,22,22,14,19.0,21,24,18,21,18,14,20,22,13,22
2015-03-29,16,23,24,25,23,23,17,25.0,25,22,26.0,15,26,25,15,22,22,23,27,18,22,19,24,22,20,24,24,22,24,22,11,29,26,26.0,24,23,16,22.0,24,24,17,24,18,19,23,24,16,20
2015-03-30,17,18,25,25,20,24,16,26.0,27,22,26.0,12,27,26,15,26,25,24,27,22,23,19,24,21,22,26,26,24,26,23,8,28,28,27.0,23,20,19,22.0,20,27,21,22,24,17,20,24,17,23
2015-03-31,11,26,15,25,25,26,8,26.0,20,14,30.0,12,28,29,8,20,28,13,28,23,26,12,22,25,17,25,30,22,27,16,-1,29,30,28.0,28,28,12,25.0,28,21,17,26,29,18,26,27,10,16
2015-06-01,25,29,35,31,31,29,22,33.0,33,34,32.0,21,33,34,23,34,32,34,32,24,27,29,31,30,27,32,30,30,31,31,18,33,27,32.0,31,31,29,31.0,30,33,31,31,32,28,31,31,26,31
2015-06-02,23,26,33,31,26,30,21,34.0,32,33,34.0,22,34,35,20,30,31,31,32,28,32,22,27,25,25,34,34,30,28,29,20,33,27,32.0,27,30,24,25.0,32,32,27,24,29,24,24,32,21,31
2015-06-03,27,24,30,29,25,30,25,34.0,32,32,35.0,28,35,34,24,30,25,32,33,26,28,28,29,24,24,34,33,30,27,26,25,35,26,33.0,26,24,29,25.0,26,31,27,26,26,24,25,33,26,31
2015-06-04,25,26,27,27,27,29,26,34.0,28,28,34.0,24,35,33,28,29,24,27,33,27,23,28,26,26,25,35,26,28,27,27,29,34,25,33.0,25,25,29,27.0,27,28,31,26,25,21,27,28,29,24
2015-06-05,24,28,34,30,28,24,24,34.0,34,32,33.0,27,33,30,23,33,28,32,32,34,26,21,33,28,29,33,26,35,29,32,29,32,29,32.0,28,29,22,29.0,28,34,27,30,28,25,28,30,20,32
2015-06-06,26,30,31,29,31,27,19,32.0,36,32,32.0,24,32,30,21,37,31,32,32,34,28,25,35,30,23,33,26,34,32,32,28,32,26,31.0,31,32,26,30.0,27,36,34,32,31,22,30,27,22,30
2015-06-07,24,26,29,29,27,28,17,32.0,34,29,34.0,23,34,33,19,31,29,30,32,32,28,27,33,26,19,34,31,32,29,28,29,34,23,32.0,27,29,26,29.0,29,34,28,27,30,19,26,30,24,28
2015-06-08,24,24,31,31,24,25,24,34.0,31,32,34.0,24,34,32,23,28,27,31,32,32,31,22,32,24,28,34,35,32,28,30,28,34,26,32.0,25,23,21,28.0,28,31,25,26,24,26,25,31,22,30
2015-06-09,25,25,34,31,27,26,24,32.0,36,29,34.0,20,34,30,24,34,24,33,32,36,28,28,34,28,27,34,34,34,30,33,29,34,29,32.0,28,23,27,26.0,23,36,31,27,27,22,27,33,25,29
