date,烟台,中山,武汉,佛山,南宁,东营,南京,惠州,常州,郑州,乌鲁木齐,重庆,石家庄,温州,南昌,广州,大连,大庆,南通,苏州,长沙,成都,厦门,太原,宁波,合肥,福州,唐山,西安,天津,北京,昆明,呼和浩特,无锡,沈阳,珠海,济南,东莞,淄博,上海,哈尔滨,徐州,长春,青岛,深圳,包头,杭州,鞍山
2016-11-04,10.0,21.0,10.0,18.0,15.0,9.0,10.0,18.0,10.0,10.0,-2.0,14.0,6.0,14.0,11.0,18.0,11.0,-7.0,11.0,12.0,11.0,13.0,18.0,1.0,10.0,9.0,16.0,5.0,8.0,8.0,4.0,11.0,1.0,11.0,5.0,21.0,13.0,19.0,10.0,14.0,-7.0,10.0,-3.0,12.0,20.0,-2.0,12.0,8.0
2016-11-05,9.0,22.0,13.0,20.0,17.0,8.0,11.0,20.0,11.0,10.0,-6.0,16.0,6.0,16.0,12.0,20.0,3.0,-12.0,13.0,14.0,14.0,13.0,19.0,3.0,12.0,12.0,18.0,3.0,10.0,6.0,3.0,12.0,0.0,13.0,-3.0,22.0,9.0,21.0,9.0,16.0,-11.0,12.0,-7.0,11.0,22.0,-1.0,14.0,-3.0
2016-11-07,3.0,20.0,10.0,19.0,18.0,4.0,11.0,18.0,11.0,6.0,-4.0,11.0,3.0,17.0,12.0,19.0,0.0,-12.0,11.0,17.0,10.0,9.0,20.0,-1.0,14.0,8.0,19.0,-4.0,9.0,4.0,2.0,13.0,-4.0,11.0,-6.0,21.0,2.0,19.0,3.0,12.0,-10.0,6.0,-10.0,6.0,18.0,-6.0,11.0,-5.0
2016-11-08,3.0,16.0,8.0,16.0,14.0,1.0,7.0,16.0,7.0,3.0,-3.0,10.0,2.0,13.0,11.0,16.0,-1.0,-13.0,8.0,10.0,8.0,8.0,18.0,-3.0,10.0,6.0,15.0,-3.0,7.0,3.0,-1.0,11.0,-4.0,9.0,-12.0,19.0,2.0,16.0,-1.0,10.0,-14.0,2.0,-12.0,3.0,17.0,-5.0,10.0,-7.0
2016-11-09,5.0,15.0,4.0,15.0,12.0,5.0,8.0,13.0,8.0,4.0,-2.0,10.0,3.0,12.0,7.0,12.0,1.0,-10.0,10.0,10.0,5.0,9.0,17.0,-1.0,11.0,7.0,14.0,2.0,4.0,4.0,2.0,8.0,-3.0,9.0,-7.0,16.0,6.0,17.0,5.0,11.0,-12.0,4.0,-7.0,5.0,15.0,-2.0,10.0,-3.0
2016-11-10,6.0,13.0,5.0,12.0,10.0,2.0,6.0,12.0,7.0,4.0,-4.0,10.0,3.0,9.0,8.0,13.0,6.0,-7.0,7.0,10.0,7.0,8.0,15.0,-2.0,7.0,6.0,14.0,-2.0,4.0,4.0,1.0,9.0,-6.0,7.0,-2.0,15.0,5.0,13.0,3.0,9.0,-6.0,6.0,-3.0,7.0,14.0,-5.0,7.0,0.0
2016-11-11,8.0,13.0,8.0,13.0,13.0,6.0,9.0,12.0,9.0,6.0,0.0,10.0,3.0,12.0,9.0,12.0,8.0,-11.0,11.0,9.0,7.0,9.0,17.0,-1.0,8.0,10.0,14.0,0.0,7.0,5.0,1.0,10.0,-4.0,10.0,-2.0,17.0,9.0,12.0,6.0,10.0,-13.0,8.0,-6.0,11.0,15.0,-3.0,9.0,1.0
2016-11-12,8.0,18.0,11.0,18.0,18.0,6.0,11.0,18.0,11.0,8.0,-1.0,14.0,4.0,16.0,13.0,16.0,8.0,-11.0,11.0,10.0,14.0,8.0,19.0,-1.0,14.0,11.0,18.0,3.0,7.0,6.0,2.0,10.0,-1.0,12.0,-4.0,20.0,9.0,15.0,7.0,14.0,-14.0,8.0,-7.0,12.0,20.0,-3.0,12.0,1.0
2016-11-13,10.0,22.0,13.0,21.0,21.0,7.0,13.0,22.0,13.0,7.0,-2.0,14.0,4.0,17.0,15.0,21.0,8.0,-10.0,12.0,9.0,15.0,10.0,20.0,0.0,16.0,13.0,19.0,4.0,8.0,7.0,3.0,9.0,-5.0,13.0,0.0,23.0,10.0,21.0,6.0,15.0,-8.0,9.0,-2.0,11.0,23.0,-5.0,15.0,4.0
2016-11-14,4.0,21.0,13.0,22.0,20.0,3.0,11.0,21.0,11.0,7.0,-3.0,15.0,1.0,18.0,16.0,20.0,0.0,-13.0,11.0,13.0,16.0,12.0,21.0,-1.0,14.0,11.0,21.0,-4.0,6.0,2.0,-2.0,7.0,-6.0,12.0,-8.0,22.0,4.0,21.0,2.0,13.0,-14.0,7.0,-10.0,6.0,22.0,-6.0,14.0,-5.0
2016-11-15,3.0,20.0,14.0,22.0,19.0,4.0,9.0,20.0,9.0,7.0,-2.0,14.0,3.0,15.0,16.0,20.0,1.0,-13.0,8.0,15.0,16.0,12.0,20.0,1.0,12.0,10.0,18.0,0.0,8.0,4.0,0.0,7.0,-3.0,9.0,-5.0,23.0,7.0,22.0,3.0,11.0,-15.0,7.0,-8.0,7.0,23.0,-2.0,12.0,-3.0
2016-11-16,6.0,21.0,14.0,22.0,18.0,5.0,11.0,18.0,13.0,7.0,-5.0,16.0,4.0,15.0,16.0,21.0,6.0,-15.0,12.0,14.0,16.0,12.0,19.0,0.0,14.0,12.0,17.0,2.0,8.0,6.0,2.0,9.0,-1.0,14.0,-7.0,23.0,7.0,22.0,3.0,14.0,-17.0,8.0,-9.0,10.0,23.0,-3.0,14.0,-3.0
2016-11-17,8.0,22.0,14.0,23.0,19.0,8.0,14.0,20.0,13.0,10.0,-9.0,16.0,4.0,18.0,17.0,21.0,8.0,-15.0,15.0,14.0,16.0,13.0,20.0,1.0,17.0,13.0,19.0,5.0,6.0,6.0,4.0,8.0,0.0,15.0,-4.0,23.0,9.0,22.0,6.0,16.0,-14.0,12.0,-4.0,12.0,22.0,-1.0,15.0,0.0
2016-11-18,11.0,22.0,14.0,22.0,19.0,9.0,15.0,22.0,15.0,9.0,-11.0,16.0,4.0,19.0,17.0,22.0,10.0,-13.0,15.0,17.0,15.0,14.0,20.0,2.0,17.0,13.0,20.0,5.0,6.0,5.0,6.0,7.0,-1.0,15.0,1.0,23.0,11.0,21.0,9.0,17.0,-10.0,13.0,-7.0,12.0,22.0,-3.0,16.0,4.0
2016-11-19,6.0,23.0,13.0,22.0,21.0,5.0,15.0,22.0,16.0,9.0,-13.0,15.0,3.0,20.0,18.0,22.0,0.0,-16.0,15.0,16.0,16.0,12.0,21.0,-1.0,18.0,14.0,20.0,-1.0,4.0,4.0,3.0,6.0,-7.0,16.0,-8.0,23.0,7.0,23.0,5.0,17.0,-17.0,11.0,-13.0,8.0,23.0,-7.0,17.0,-7.0
2016-11-20,4.0,24.0,13.0,24.0,22.0,6.0,14.0,22.0,15.0,6.0,-14.0,16.0,2.0,20.0,18.0,22.0,-2.0,-20.0,14.0,16.0,15.0,11.0,21.0,1.0,17.0,13.0,20.0,-2.0,6.0,1.0,-1.0,6.0,-8.0,15.0,-7.0,24.0,8.0,22.0,7.0,16.0,-21.0,10.0,-17.0,8.0,23.0,-9.0,16.0,-7.0
2016-11-21,-2.0,23.0,6.0,22.0,22.0,0.0,9.0,22.0,12.0,0.0,-16.0,15.0,-5.0,19.0,16.0,22.0,-7.0,-20.0,11.0,17.0,10.0,12.0,20.0,-6.0,16.0,6.0,20.0,-8.0,2.0,-4.0,-9.0,6.0,-16.0,12.0,-13.0,23.0,-3.0,23.0,-2.0,15.0,-21.0,1.0,-18.0,1.0,23.0,-15.0,16.0,-12.0
2016-11-22,-2.0,20.0,-1.0,15.0,16.0,-5.0,2.0,16.0,3.0,-4.0,-17.0,7.0,-5.0,12.0,6.0,18.0,-7.0,-21.0,4.0,9.0,2.0,6.0,18.0,-9.0,11.0,1.0,15.0,-10.0,-2.0,-6.0,-8.0,5.0,-15.0,4.0,-14.0,16.0,-6.0,21.0,-7.0,7.0,-23.0,-1.0,-18.0,-2.0,18.0,-16.0,8.0,-12.0
2016-11-23,0.0,12.0,-3.0,10.0,10.0,-5.0,-1.0,10.0,-1.0,-6.0,-16.0,8.0,-4.0,8.0,3.0,10.0,-4.0,-17.0,0.0,10.0,0.0,5.0,15.0,-11.0,5.0,-4.0,13.0,-10.0,-3.0,-3.0,-6.0,5.0,-15.0,-1.0,-13.0,12.0,-5.0,11.0,-8.0,4.0,-22.0,-6.0,-16.0,-2.0,12.0,-15.0,2.0,-10.0
2016-11-24,0.0,12.0,-2.0,10.0,10.0,-3.0,-1.0,11.0,0.0,-3.0,-14.0,8.0,-2.0,9.0,3.0,10.0,-1.0,-18.0,1.0,6.0,1.0,5.0,15.0,-10.0,6.0,-1.0,12.0,-7.0,-1.0,-1.0,-6.0,6.0,-13.0,1.0,-12.0,13.0,-2.0,11.0,-4.0,3.0,-20.0,-4.0,-13.0,-1.0,12.0,-13.0,3.0,-6.0
2016-11-25,2.0,14.0,4.0,12.0,9.0,-1.0,4.0,12.0,5.0,0.0,-11.0,9.0,-2.0,11.0,5.0,12.0,3.0,-16.0,3.0,10.0,3.0,4.0,15.0,-8.0,9.0,3.0,13.0,-4.0,0.0,1.0,-5.0,6.0,-11.0,5.0,-7.0,16.0,2.0,13.0,0.0,8.0,-20.0,-1.0,-9.0,4.0,14.0,-11.0,7.0,-1.0
2016-11-26,2.0,11.0,3.0,9.0,8.0,-2.0,1.0,12.0,2.0,0.0,-12.0,7.0,0.0,10.0,5.0,10.0,2.0,-16.0,2.0,5.0,3.0,4.0,14.0,-5.0,6.0,2.0,13.0,-5.0,1.0,-1.0,-4.0,3.0,-10.0,2.0,-7.0,12.0,2.0,12.0,-2.0,6.0,-12.0,-1.0,-12.0,2.0,12.0,-11.0,4.0,-5.0
2016-11-27,1.0,12.0,0.0,10.0,8.0,-2.0,3.0,11.0,3.0,-2.0,-10.0,8.0,-1.0,7.0,5.0,10.0,-1.0,-17.0,3.0,6.0,4.0,6.0,12.0,-6.0,6.0,3.0,10.0,-6.0,0.0,-2.0,-4.0,5.0,-9.0,3.0,-11.0,13.0,-1.0,12.0,-4.0,7.0,-17.0,-1.0,-14.0,1.0,11.0,-11.0,4.0,-6.0
2016-11-28,2.0,14.0,3.0,11.0,8.0,-1.0,3.0,10.0,3.0,2.0,-12.0,10.0,-1.0,10.0,6.0,11.0,0.0,-17.0,5.0,8.0,5.0,6.0,13.0,-6.0,8.0,5.0,11.0,-4.0,2.0,2.0,-4.0,6.0,-7.0,4.0,-11.0,13.0,0.0,12.0,-2.0,9.0,-17.0,1.0,-13.0,3.0,14.0,-6.0,6.0,-5.0
2016-11-29,4.0,15.0,3.0,15.0,10.0,2.0,7.0,12.0,5.0,3.0,-12.0,10.0,-1.0,13.0,8.0,11.0,3.0,-14.0,8.0,10.0,6.0,6.0,15.0,-4.0,9.0,5.0,14.0,1.0,1.0,0.0,-3.0,6.0,-8.0,7.0,-5.0,16.0,3.0,14.0,1.0,9.0,-18.0,1.0,-8.0,6.0,16.0,-9.0,8.0,-4.0
2016-11-30,3.0,14.0,3.0,13.0,10.0,1.0,4.0,12.0,5.0,2.0,-13.0,9.0,0.0,12.0,8.0,11.0,1.0,-11.0,5.0,6.0,4.0,7.0,16.0,-6.0,8.0,3.0,15.0,-4.0,1.0,1.0,-1.0,6.0,-10.0,5.0,-6.0,16.0,1.0,13.0,-1.0,8.0,-8.0,1.0,-9.0,4.0,16.0,-11.0,7.0,-3.0
2016-12-01,0.0,15.0,2.0,13.0,10.0,-1.0,4.0,14.0,5.0,1.0,-9.0,8.0,-1.0,10.0,8.0,13.0,1.0,-12.0,5.0,3.0,5.0,8.0,15.0,-5.0,9.0,5.0,13.0,-4.0,1.0,1.0,-4.0,7.0,-9.0,5.0,-8.0,16.0,1.0,13.0,-3.0,8.0,-13.0,1.0,-8.0,2.0,16.0,-10.0,6.0,-2.0
2016-12-02,3.0,17.0,2.0,15.0,11.0,1.0,5.0,15.0,5.0,3.0,-12.0,11.0,0.0,10.0,8.0,15.0,5.0,-8.0,5.0,6.0,8.0,8.0,15.0,-5.0,8.0,4.0,13.0,-2.0,2.0,2.0,-3.0,7.0,-8.0,6.0,-3.0,18.0,5.0,16.0,3.0,9.0,-11.0,2.0,-4.0,5.0,16.0,-7.0,7.0,3.0
2016-12-03,7.0,16.0,4.0,15.0,10.0,4.0,7.0,15.0,7.0,6.0,-12.0,8.0,2.0,12.0,9.0,15.0,6.0,-8.0,7.0,7.0,8.0,4.0,16.0,-6.0,8.0,5.0,14.0,-2.0,0.0,2.0,-2.0,7.0,-9.0,8.0,1.0,18.0,6.0,17.0,5.0,9.0,-10.0,6.0,-8.0,8.0,18.0,-10.0,9.0,3.0
2016-12-04,3.0,19.0,5.0,18.0,14.0,2.0,6.0,17.0,7.0,4.0,-10.0,8.0,0.0,13.0,10.0,16.0,-1.0,-15.0,5.0,6.0,7.0,6.0,17.0,-4.0,8.0,5.0,15.0,-4.0,2.0,1.0,-2.0,4.0,-8.0,6.0,-8.0,20.0,3.0,18.0,2.0,8.0,-20.0,4.0,-11.0,4.0,19.0,-11.0,8.0,-7.0
2016-12-05,-1.0,16.0,2.0,15.0,13.0,-4.0,4.0,16.0,5.0,-1.0,-11.0,7.0,-3.0,12.0,8.0,15.0,-2.0,-20.0,5.0,0.0,6.0,4.0,17.0,-8.0,8.0,3.0,14.0,-7.0,0.0,-2.0,-5.0,6.0,-12.0,5.0,-11.0,17.0,-2.0,18.0,-5.0,8.0,-23.0,-3.0,-15.0,0.0,18.0,-12.0,7.0,-8.0
2016-12-06,1.0,17.0,1.0,12.0,8.0,-2.0,2.0,11.0,3.0,3.0,-7.0,8.0,0.0,8.0,5.0,11.0,0.0,-21.0,2.0,2.0,5.0,2.0,11.0,-6.0,3.0,4.0,9.0,-4.0,1.0,-1.0,-3.0,5.0,-10.0,2.0,-11.0,15.0,1.0,13.0,-2.0,5.0,-23.0,0.0,-14.0,2.0,15.0,-11.0,4.0,-6.0
2016-12-07,-1.0,14.0,0.0,13.0,9.0,0.0,4.0,11.0,4.0,3.0,-6.0,10.0,0.0,8.0,5.0,12.0,-1.0,-19.0,4.0,6.0,6.0,3.0,13.0,-5.0,4.0,3.0,10.0,-4.0,2.0,0.0,-2.0,5.0,-7.0,5.0,-9.0,17.0,3.0,14.0,-1.0,8.0,-18.0,3.0,-11.0,3.0,16.0,-9.0,4.0,-7.0
2016-12-08,1.0,14.0,3.0,14.0,10.0,-1.0,5.0,12.0,6.0,2.0,-4.0,9.0,-2.0,8.0,6.0,12.0,-3.0,-21.0,6.0,3.0,7.0,6.0,14.0,-6.0,6.0,6.0,10.0,-7.0,1.0,-2.0,-2.0,3.0,-12.0,6.0,-13.0,16.0,-1.0,13.0,-3.0,8.0,-21.0,1.0,-14.0,1.0,15.0,-11.0,7.0,-9.0
2016-12-09,0.0,14.0,5.0,13.0,9.0,-1.0,5.0,12.0,5.0,0.0,-4.0,13.0,-3.0,11.0,7.0,12.0,-3.0,-20.0,5.0,7.0,9.0,8.0,14.0,-4.0,8.0,5.0,13.0,-7.0,1.0,-3.0,-5.0,4.0,-10.0,6.0,-16.0,17.0,0.0,14.0,-3.0,9.0,-23.0,1.0,-14.0,1.0,16.0,-13.0,8.0,-8.0
2016-12-10,-1.0,15.0,5.0,13.0,8.0,-1.0,6.0,13.0,6.0,0.0,-5.0,12.0,-2.0,11.0,7.0,13.0,-1.0,-19.0,6.0,8.0,9.0,3.0,15.0,-6.0,8.0,6.0,14.0,-6.0,2.0,-1.0,-4.0,4.0,-8.0,7.0,-18.0,16.0,0.0,14.0,-2.0,9.0,-22.0,2.0,-15.0,2.0,17.0,-11.0,8.0,-7.0
2016-12-11,2.0,17.0,6.0,15.0,11.0,0.0,7.0,14.0,6.0,2.0,-6.0,12.0,-1.0,13.0,8.0,15.0,1.0,-17.0,8.0,8.0,8.0,8.0,15.0,-5.0,9.0,7.0,14.0,-2.0,2.0,1.0,-1.0,5.0,-5.0,7.0,-11.0,19.0,2.0,17.0,-1.0,10.0,-18.0,3.0,-11.0,4.0,18.0,-2.0,8.0,-4.0
2016-12-12,2.0,17.0,6.0,16.0,15.0,2.0,9.0,17.0,9.0,3.0,-7.0,11.0,-3.0,14.0,10.0,17.0,-3.0,-20.0,8.0,11.0,10.0,7.0,15.0,-2.0,12.0,7.0,14.0,-6.0,2.0,-1.0,-3.0,5.0,-8.0,8.0,-13.0,20.0,1.0,17.0,2.0,11.0,-21.0,6.0,-16.0,4.0,17.0,-6.0,10.0,-8.0
2016-12-13,-2.0,16.0,4.0,15.0,15.0,-4.0,3.0,15.0,4.0,-1.0,-5.0,11.0,-4.0,11.0,7.0,15.0,-8.0,-21.0,3.0,9.0,8.0,7.0,16.0,-5.0,5.0,3.0,13.0,-11.0,1.0,-4.0,-6.0,5.0,-10.0,4.0,-21.0,16.0,-4.0,15.0,-5.0,5.0,-25.0,-1.0,-20.0,-2.0,16.0,-11.0,5.0,-14.0
2016-12-14,-2.0,12.0,1.0,11.0,12.0,-5.0,-2.0,10.0,-2.0,-1.0,-3.0,10.0,-4.0,6.0,3.0,11.0,-7.0,-23.0,-1.0,0.0,3.0,8.0,12.0,-7.0,2.0,-1.0,9.0,-11.0,0.0,-4.0,-6.0,6.0,-12.0,-1.0,-22.0,13.0,-3.0,12.0,-6.0,2.0,-26.0,-4.0,-21.0,-3.0,14.0,-14.0,1.0,-15.0
2016-12-15,-3.0,11.0,-1.0,11.0,12.0,-4.0,0.0,12.0,-1.0,-2.0,-5.0,9.0,-4.0,4.0,2.0,9.0,-5.0,-19.0,-1.0,2.0,3.0,4.0,9.0,-8.0,1.0,-1.0,6.0,-8.0,-1.0,-3.0,-6.0,5.0,-11.0,-1.0,-20.0,11.0,-3.0,10.0,-5.0,2.0,-25.0,-4.0,-17.0,-3.0,11.0,-12.0,0.0,-12.0
2016-12-19,3.0,18.0,10.0,17.0,16.0,-1.0,9.0,16.0,10.0,3.0,-8.0,10.0,-2.0,16.0,12.0,17.0,0.0,-14.0,9.0,5.0,9.0,8.0,15.0,-5.0,13.0,8.0,18.0,-4.0,2.0,-2.0,-4.0,6.0,-6.0,10.0,-5.0,19.0,2.0,17.0,0.0,13.0,-15.0,4.0,-5.0,4.0,18.0,-11.0,12.0,0.0
2016-12-20,3.0,19.0,8.0,18.0,18.0,0.0,10.0,18.0,10.0,3.0,-12.0,10.0,-1.0,18.0,11.0,18.0,1.0,-17.0,10.0,5.0,9.0,7.0,18.0,-1.0,15.0,8.0,18.0,-2.0,2.0,-1.0,-2.0,5.0,-3.0,11.0,-7.0,19.0,1.0,17.0,2.0,13.0,-17.0,4.0,-9.0,1.0,19.0,-3.0,12.0,0.0
2016-12-21,1.0,17.0,2.0,18.0,15.0,1.0,6.0,16.0,7.0,2.0,-11.0,8.0,-1.0,15.0,7.0,16.0,-4.0,-16.0,6.0,8.0,5.0,3.0,18.0,-6.0,9.0,5.0,16.0,-3.0,-1.0,-1.0,-3.0,6.0,-9.0,7.0,-9.0,17.0,0.0,17.0,0.0,9.0,-16.0,3.0,-12.0,2.0,17.0,-11.0,9.0,-9.0
2016-12-22,-2.0,14.0,1.0,13.0,13.0,-3.0,2.0,11.0,2.0,0.0,-11.0,8.0,-2.0,8.0,5.0,12.0,-8.0,-18.0,3.0,6.0,4.0,6.0,13.0,-9.0,5.0,1.0,12.0,-9.0,-1.0,-3.0,-5.0,7.0,-12.0,3.0,-12.0,16.0,-3.0,17.0,-6.0,6.0,-14.0,-2.0,-13.0,-1.0,14.0,-14.0,4.0,-12.0
2016-12-23,-2.0,15.0,1.0,13.0,15.0,-4.0,3.0,14.0,3.0,1.0,-10.0,9.0,-3.0,8.0,7.0,15.0,-7.0,-20.0,3.0,2.0,8.0,7.0,12.0,-7.0,4.0,3.0,10.0,-10.0,0.0,-3.0,-6.0,7.0,-12.0,3.0,-20.0,17.0,-3.0,14.0,-6.0,5.0,-23.0,-1.0,-19.0,-2.0,16.0,-13.0,3.0,-13.0
2016-12-24,-2.0,16.0,6.0,16.0,15.0,-2.0,4.0,15.0,5.0,1.0,-14.0,10.0,-3.0,10.0,9.0,17.0,-4.0,-16.0,4.0,2.0,8.0,7.0,13.0,-2.0,8.0,4.0,11.0,-5.0,1.0,-1.0,-5.0,7.0,-6.0,5.0,-18.0,16.0,0.0,15.0,-3.0,8.0,-20.0,0.0,-15.0,0.0,16.0,-4.0,6.0,-11.0
2016-12-25,0.0,17.0,4.0,16.0,15.0,-2.0,7.0,15.0,7.0,1.0,-17.0,7.0,-2.0,14.0,7.0,16.0,-6.0,-19.0,8.0,10.0,4.0,4.0,16.0,-4.0,10.0,5.0,15.0,-5.0,-1.0,-1.0,-2.0,6.0,-10.0,8.0,-12.0,19.0,-1.0,16.0,-3.0,9.0,-22.0,3.0,-19.0,0.0,18.0,-11.0,9.0,-9.0
2016-12-26,-3.0,13.0,0.0,12.0,12.0,-5.0,2.0,11.0,2.0,-2.0,-16.0,7.0,-4.0,8.0,6.0,11.0,-9.0,-23.0,3.0,8.0,4.0,4.0,16.0,-9.0,7.0,2.0,14.0,-12.0,-2.0,-5.0,-7.0,5.0,-15.0,3.0,-21.0,19.0,-4.0,12.0,-6.0,5.0,-25.0,-3.0,-23.0,-3.0,13.0,-16.0,5.0,-14.0
2016-12-27,-5.0,10.0,-1.0,8.0,7.0,-6.0,-2.0,8.0,-2.0,-4.0,-14.0,7.0,-5.0,4.0,2.0,7.0,-8.0,-21.0,-1.0,1.0,2.0,3.0,9.0,-10.0,3.0,-2.0,5.0,-10.0,-3.0,-6.0,-7.0,3.0,-14.0,-2.0,-20.0,11.0,-5.0,8.0,-6.0,1.0,-23.0,-4.0,-21.0,-5.0,10.0,-17.0,0.0,-15.0
2016-12-28,-3.0,9.0,-1.0,8.0,7.0,-5.0,-2.0,7.0,-1.0,-3.0,-14.0,8.0,-5.0,4.0,2.0,8.0,-5.0,-22.0,-1.0,5.0,2.0,6.0,10.0,-12.0,3.0,-2.0,8.0,-12.0,-4.0,-5.0,-7.0,4.0,-18.0,0.0,-17.0,10.0,-6.0,8.0,-8.0,2.0,-24.0,-3.0,-23.0,-2.0,9.0,-18.0,1.0,-12.0
2016-12-29,-5.0,11.0,-1.0,10.0,5.0,-6.0,-1.0,8.0,-1.0,-3.0,-13.0,8.0,-4.0,4.0,3.0,7.0,-4.0,-19.0,-1.0,0.0,3.0,7.0,10.0,-12.0,3.0,-2.0,7.0,-11.0,-2.0,-4.0,-7.0,3.0,-17.0,0.0,-12.0,13.0,-6.0,10.0,-7.0,3.0,-22.0,-3.0,-17.0,-1.0,10.0,-16.0,2.0,-9.0
2016-12-30,-2.0,12.0,-1.0,10.0,4.0,-3.0,0.0,10.0,0.0,-1.0,-12.0,10.0,-5.0,6.0,3.0,10.0,1.0,-18.0,0.0,1.0,4.0,5.0,11.0,-8.0,4.0,-1.0,9.0,-8.0,-2.0,-2.0,-6.0,4.0,-12.0,0.0,-15.0,15.0,0.0,11.0,-3.0,4.0,-20.0,-1.0,-16.0,0.0,13.0,-13.0,3.0,-4.0
2016-12-31,0.0,13.0,1.0,12.0,11.0,-2.0,1.0,12.0,1.0,-2.0,-14.0,10.0,-3.0,10.0,5.0,11.0,1.0,-18.0,2.0,0.0,5.0,7.0,14.0,-9.0,5.0,2.0,11.0,-6.0,-1.0,-2.0,-6.0,4.0,-13.0,2.0,-4.0,17.0,1.0,12.0,-1.0,6.0,-17.0,-2.0,-8.0,3.0,16.0,-13.0,5.0,0.0
